key,en,es
Talk,Talk,Hablar
Inspect,Inspect,Inspeccionar
Sleep,Sleep,Dormision
Stream,Stream,Stream
Continue,Continue,Continuar
PlayerStartDialogue1,Where I am?,Donde estoy?
ProtagonistStartAnswear1,"In my room, obiously. Do you have vision problems?","En mi habitación, evidentemente. Te pasa algo en la vista?"
PlayerStartDialogue1.1,And where is your room?,Y donde está tú habitación?
ProtagonistStartAnswear1.1,"In my home. Otherwise, where would it be?",En mi casa. Si no donde iba a estar?
PlayerStartDialogue1.1.1,Are you serious?,Vas en serio?
ProtagonistStartAnswear1.1.1,I am always serious bro.,Yo siempre voy en serio.
PlayerStartDialogue2,How I arrived here?,Como he llegado hasta aquí?
ProtagonistStartAnswear2,You only appeared.,Solo apareciste.
PlayerStartDialogue3,How long I have been here?,Cuanto llevo aquí?
ProtagonistStartAnswear3,HAVE YOU EVER NOT BEEN HERE?,ALGUNA VEZ NO HAS ESTADO AQUÍ?
PlayerStartDialogue3.1,"Yeah, I’ve always been here.","Ya, yo siempre he estado aquí."
PlayerStartDialogue3.2,"Look, I don’t think you’re my mom, so I think that yes.","A ver, no creo que seas mí madre por lo que creo que sí."
ProtagonistStartAnswear3.1,"The past or the future don’t matter, only the present does.","El pasado ni el futuro importan, solo importa el presente."
PlayerStartDialogue3.2.1,"Earlier, you told me that I appeared, which means I haven’t always been here.",Antes me has dicho que he aparecido por lo que significa que no siempre he estado aquí.
ProtagonistStartAnswear3.1.1,Yeah.,Ya.
ProtagonistStartAnswear3.1.2,For that reason.,Por eso.
ProtagonistStartAnswear3.1.3,"I can’t answer you. You appeared on your own, so I don’t know the reason.",No te puedo responder. Has aparecido por tu propia cuenta por lo que no sé el motivo.
PlayerStartDialogue4,Who are you?,Quién eres?
ProtagonistStartAnswear4,"Finally, a good question.",Por fin una buena pregunta.
ProtagonistStartAnswear4.1,"I am me, just like you are you. If you weren’t you, I wouldn’t be having a conversation with you.","Yo soy yo, al igual que tú eres tú, si tú no fueras tú ya no estaría teniendo una conversación contigo."
